[2026-09-14 13:07:14] Connected to COM5 at 115200 baud
[2026-09-14 13:07:15] Arduino: 3-Channel Syringe Pump Controller Started
[2026-09-14 13:07:15] Arduino: Initialization complete. Ready for triggers.
[2026-09-14 13:07:15] Arduino: Pump 1, Magnitude 14, Volume 420.0 uL
[2026-09-14 13:07:18] Complete: Pump 1 delivered 420.0 uL at 2.545 mm (F)
[2026-09-14 13:07:38] Simulation mode enabled
[2026-09-14 13:07:38] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:07:40] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:07:42] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:07:44] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:07:46] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:07:48] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:07:50] Pump 3: Reached min position, reversing direction
[2026-09-14 13:07:50] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:07:52] Pump 2: Reached min position, reversing direction
[2026-09-14 13:07:52] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:07:54] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:07:56] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:07:58] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:08:00] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:08:02] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:08:04] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:08:06] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:08:08] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:08:10] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:08:12] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:08:14] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:08:16] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:08:18] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:08:20] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:08:22] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:08:24] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:08:26] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:08:28] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:08:30] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:08:32] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:08:34] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:08:36] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:08:38] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:08:40] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:08:42] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:08:44] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:08:46] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:08:48] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:08:50] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:08:52] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:08:54] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:08:56] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:08:58] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:09:00] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:09:02] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:09:04] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:09:06] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:09:08] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:09:10] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:09:12] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:09:15] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:09:17] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:09:19] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:09:21] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:09:23] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:09:25] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:09:27] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:09:29] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:09:31] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:09:33] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:09:35] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:09:37] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:09:39] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:09:41] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:09:43] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:09:45] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:09:47] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:09:49] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:09:51] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:09:53] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:09:55] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:09:57] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:09:59] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:10:01] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:10:03] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:10:05] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:10:07] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:10:09] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:10:11] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:10:13] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:10:15] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:10:17] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:10:19] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:10:21] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:10:23] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:10:25] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:10:27] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:10:29] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:10:31] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:10:33] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:10:35] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:10:37] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:10:39] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:10:41] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:10:43] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:10:45] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:10:47] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:10:49] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:10:51] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:10:53] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:10:55] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:10:57] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:10:59] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:11:01] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:11:03] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:11:05] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:11:07] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:11:09] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:11:11] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:11:13] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:11:15] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:11:17] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:11:19] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:11:21] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:11:23] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:11:25] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:11:27] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:11:29] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:11:31] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:11:33] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:11:35] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:11:37] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:11:39] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:11:41] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:11:43] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:11:45] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:11:47] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:11:49] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:11:51] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:11:53] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:11:55] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:11:57] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:11:59] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:12:01] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:12:03] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:12:05] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:12:07] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:12:09] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:12:12] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:12:14] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:12:16] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:12:18] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:12:20] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:12:22] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:12:24] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:12:26] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:12:28] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:12:30] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:12:32] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:12:34] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:12:36] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:12:38] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:12:40] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:12:42] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:12:44] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:12:46] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:12:48] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:12:50] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:12:52] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:12:54] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:12:56] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:12:58] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:13:00] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:13:02] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:13:04] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:13:06] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:13:08] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:13:10] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:13:12] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:13:14] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:13:16] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:13:18] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:13:20] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:13:22] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:13:24] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:13:26] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:13:28] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:13:30] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:13:32] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:13:34] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:13:36] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:13:38] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:13:40] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:13:42] Trigger: Pump 2, Magnitude 15
